Fecha,Precipitacion,Temperatura,Caudal_Real,Inercia_3meses,Mes,Caudal_IA
1952-04-01,88.32000000000001,23.643333333333334,,41.777777777777786,4,39.16333333333334
1952-05-01,83.55333333333334,24.823333333333334,,63.99444444444445,5,51.65333333333333
1952-06-01,42.63666666666667,25.346666666666664,,71.50333333333334,6,39.4075
1952-07-01,46.883333333333326,25.086666666666662,,57.69111111111112,7,45.76583333333334
1952-08-01,43.546666666666674,25.48333333333333,,44.35555555555556,8,27.954166666666673
1952-09-01,63.42666666666667,24.99,,51.28555555555556,9,38.1925
1952-10-01,33.10666666666667,24.936666666666667,,46.69333333333335,10,25.327500000000004
1952-11-01,22.24,23.27,,39.59111111111111,11,29.459166666666665
1952-12-01,18.006666666666668,21.78333333333333,,24.451111111111118,12,35.404999999999994
1953-01-01,31.2,21.71666666666667,,23.815555555555562,1,40.75999999999999
1953-02-01,14.253333333333332,22.216666666666665,,21.15333333333334,2,20.461666666666666
1953-03-01,28.786666666666665,22.80666666666666,,24.74666666666667,3,25.949166666666656
1953-04-01,20.91,24.12,,21.316666666666674,4,7.543333333333334
1953-05-01,108.62333333333333,23.613333333333333,,52.77333333333334,5,78.64083333333332
1953-06-01,56.97333333333333,24.41,,62.168888888888894,6,54.99333333333332
1953-07-01,48.21,24.820000000000004,,71.2688888888889,7,36.21666666666668
1953-08-01,33.333333333333336,25.26,,46.172222222222224,8,23.591666666666665
1953-09-01,45.56666666666667,25.243333333333336,,42.370000000000005,9,30.62333333333334
1953-10-01,47.05666666666667,24.44333333333333,,41.98555555555556,10,32.80999999999999
1953-11-01,34.18333333333333,23.849999999999998,,42.268888888888895,11,27.015833333333333
1953-12-01,43.43666666666667,22.773333333333337,,41.558888888888895,12,31.339999999999996
1954-01-01,18.37,21.973333333333333,,31.99666666666667,1,46.13500000000001
1954-02-01,84.5,21.343333333333334,,48.76888888888889,2,61.83249999999999
1954-03-01,17.256666666666664,22.766666666666666,,40.04222222222223,3,28.467499999999987
1954-04-01,36.15,23.143333333333334,,45.9688888888889,4,28.429166666666664
1954-05-01,55.68,24.23333333333333,,36.36222222222222,5,26.89166666666667
1954-06-01,58.31,24.623333333333335,,50.046666666666674,6,46.65083333333333
1954-07-01,46.38666666666666,24.929999999999996,,53.458888888888886,7,36.35
1954-08-01,43.583333333333336,25.2,,49.42666666666667,8,35.24416666666667
1954-09-01,66.66666666666666,24.723333333333333,,52.212222222222216,9,38.76083333333334
